Division,Group,Field,Description
Human Society,Development studies,440407,Socio-economic development
Human Society,Development studies,440408,Urban community development
Human Society,Development studies,440499,Development studies not elsewhere classified
Human Society,Gender studies,440501,Feminist and queer theory
Human Society,Gender studies,440502,Feminist methodologies
Human Society,Gender studies,440503,Feminist theory
Human Society,Gender studies,440504,Gender relations
Human Society,Gender studies,440505,Intersectional studies
Human Society,Gender studies,440506,Sexualities
Human Society,Gender studies,440507,Studies of men and masculinities
Human Society,Gender studies,440508,Transgender studies
Human Society,Gender studies,440509,Women's studies (incl. girls' studies)
Human Society,Gender studies,440599,Gender studies not elsewhere classified
Human Society,Human geography,440601,Cultural geography
Human Society,Human geography,440602,Development geography
Human Society,Human geography,440603,Economic geography
Human Society,Human geography,440604,Environmental geography
Human Society,Human geography,440605,Health geography
Human Society,Human geography,440606,Political geography
Human Society,Human geography,440607,Population geography
Human Society,Human geography,440608,"Recreation, leisure and tourism geography"
Human Society,Human geography,440609,Rural and regional geography
Human Society,Human geography,440610,Social geography
Human Society,Human geography,440611,Transport geography
Human Society,Human geography,440612,Urban geography
Human Society,Human geography,440699,Human geography not elsewhere classified
Human Society,Policy and administration,440701,Communications and media policy
Human Society,Policy and administration,440702,Crime policy
Human Society,Policy and administration,440703,Economic development policy
Human Society,Policy and administration,440704,Environment policy
Human Society,Policy and administration,440705,"Gender, policy and administration"
Human Society,Policy and administration,440706,Health policy
Human Society,Policy and administration,440707,Housing policy
Human Society,Policy and administration,440708,Public administration
Human Society,Policy and administration,440709,Public policy
Human Society,Policy and administration,440710,"Research, science and technology policy"
Human Society,Policy and administration,440711,Risk policy
Human Society,Policy and administration,440712,Social policy
Human Society,Policy and administration,440713,Tourism policy
Human Society,Policy and administration,440714,Urban policy
Human Society,Policy and administration,440799,Policy and administration not elsewhere classified
Human Society,Political science,440801,Australian government and politics
Human Society,Political science,440802,Citizenship
Human Society,Political science,440803,Comparative government and politics
Human Society,Political science,440804,Defence studies
Human Society,Political science,440805,Environmental politics
Human Society,Political science,440806,Gender and politics
Human Society,Political science,440807,Government and politics of Asia and the Pacific
Human Society,Political science,440808,International relations
Human Society,Political science,440809,New Zealand government and politics
Human Society,Political science,440810,Peace studies
Human Society,Political science,440811,Political theory and political philosophy
Human Society,Political science,440899,Political science not elsewhere classified
Human Society,Social work,440901,Clinical social work practice
Human Society,Social work,440902,"Counselling, wellbeing and community services"
Human Society,Social work,440903,Social program evaluation
Human Society,Social work,440999,Social work not elsewhere classified
Human Society,Sociology,441001,"Applied sociology, program evaluation and social impact assessment"
Human Society,Sociology,441002,Environmental sociology
Human Society,Sociology,441003,Rural sociology
Human Society,Sociology,441004,Social change
Human Society,Sociology,441005,Social theory
Human Society,Sociology,441006,Sociological methodology and research methods
Human Society,Sociology,441007,Sociology and social studies of science and technology
Human Society,Sociology,441008,Sociology of culture
Human Society,Sociology,441009,Sociology of family and relationships
Human Society,Sociology,441010,Sociology of gender
Human Society,Sociology,441011,Sociology of health
Human Society,Sociology,441012,Sociology of inequalities
Human Society,Sociology,441013,"Sociology of migration, ethnicity and multiculturalism"
Human Society,Sociology,441014,Sociology of religion
Human Society,Sociology,441015,Sociology of the life course
Human Society,Sociology,441016,Urban sociology and community studies
Human Society,Sociology,441099,Sociology not elsewhere classified
Human Society,Other human society,449901,Studies of Asian society
Human Society,Other human society,449999,Other human society not elsewhere classified
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450101,Aboriginal and Torres Strait Islander archaeology
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450102,Aboriginal and Torres Strait Islander artefacts
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450103,Aboriginal and Torres Strait Islander cultural history
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450104,Aboriginal and Torres Strait Islander culture
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450105,"Aboriginal and Torres Strait Islander curatorial, archives and museum studies"
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450106,Aboriginal and Torres Strait Islander ethics
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450107,Aboriginal and Torres Strait Islander history
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450108,Aboriginal and Torres Strait Islander linguistics and languages
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450109,"Aboriginal and Torres Strait Islander literature, journalism and professional writing"
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450110,"Aboriginal and Torres Strait Islander media, film, animation and photography"
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450111,Aboriginal and Torres Strait Islander music and performing arts
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450112,Aboriginal and Torres Strait Islander philosophy
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450113,Aboriginal and Torres Strait Islander religion and religious studies
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450114,Aboriginal and Torres Strait Islander repatriation
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450115,Aboriginal and Torres Strait Islander research methods
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450116,Aboriginal and Torres Strait Islander visual arts and crafts
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450117,"Aboriginal and Torres Strait Islander ways of knowing, being and doing"
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450118,Conservation of Aboriginal and Torres Strait Islander heritage
Indigenous Studies,"Aboriginal and Torres Strait Islander culture, language and history",450199,"Aboriginal and Torres Strait Islander culture, language and history not elsewhere classified"
Indigenous Studies,Aboriginal and Torres Strait Islander education,450201,Aboriginal and Torres Strait Islander curriculum and pedagogy
Indigenous Studies,Aboriginal and Torres Strait Islander education,450202,Aboriginal and Torres Strait Islander early childhood education
Indigenous Studies,Aboriginal and Torres Strait Islander education,450203,Aboriginal and Torres Strait Islander educational methods
Indigenous Studies,Aboriginal and Torres Strait Islander education,450204,"Aboriginal and Torres Strait Islander technical, further, continuing and community education"
Indigenous Studies,Aboriginal and Torres Strait Islander education,450205,Aboriginal and Torres Strait Islander higher education
Indigenous Studies,Aboriginal and Torres Strait Islander education,450206,Aboriginal and Torres Strait Islander language education
Indigenous Studies,Aboriginal and Torres Strait Islander education,450207,Aboriginal and Torres Strait Islander men’s education
Indigenous Studies,Aboriginal and Torres Strait Islander education,450208,Aboriginal and Torres Strait Islander primary education
Indigenous Studies,Aboriginal and Torres Strait Islander education,450209,Aboriginal and Torres Strait Islander secondary education
Indigenous Studies,Aboriginal and Torres Strait Islander education,450210,Aboriginal and Torres Strait Islander student engagement and teaching
Indigenous Studies,Aboriginal and Torres Strait Islander education,450211,Aboriginal and Torres Strait Islander women’s education
Indigenous Studies,Aboriginal and Torres Strait Islander education,450212,Cultural responsiveness and working with Aboriginal and Torres Strait Islander communities education
Indigenous Studies,Aboriginal and Torres Strait Islander education,450213,"Embedding Aboriginal and Torres Strait Islander knowledges, histories, culture, country, perspectives and ethics in education"
Indigenous Studies,Aboriginal and Torres Strait Islander education,450299,Aboriginal and Torres Strait Islander education not elsewhere classified
Indigenous Studies,Aboriginal and Torres Strait Islander environmental knowledges and management,450301,Aboriginal and Torres Strait Islander agriculture and forestry
Indigenous Studies,Aboriginal and Torres Strait Islander environmental knowledges and management,450302,Aboriginal and Torres Strait Islander earth sciences
Indigenous Studies,Aboriginal and Torres Strait Islander environmental knowledges and management,450303,Aboriginal and Torres Strait Islander environmental conservation
Indigenous Studies,Aboriginal and Torres Strait Islander environmental knowledges and management,450304,Aboriginal and Torres Strait Islander environmental knowledges
Indigenous Studies,Aboriginal and Torres Strait Islander environmental knowledges and management,450305,Aboriginal and Torres Strait Islander fisheries and customary fisheries
Indigenous Studies,Aboriginal and Torres Strait Islander environmental knowledges and management,450306,Aboriginal and Torres Strait Islander land and water management
Indigenous Studies,Aboriginal and Torres Strait Islander environmental knowledges and management,450307,Aboriginal and Torres Strait Islander marine environment science
Indigenous Studies,Aboriginal and Torres Strait Islander environmental knowledges and management,450399,Aboriginal and Torres Strait Islander environmental knowledges and management not elsewhere classified
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450401,Aboriginal and Torres Strait Islander and disability
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450402,Aboriginal and Torres Strait Islander biomedical and clinical sciences
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450403,Aboriginal and Torres Strait Islander child health and wellbeing
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450404,Aboriginal and Torres Strait Islander cultural determinants of health
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450405,Aboriginal and Torres Strait Islander diet and nutrition
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450406,Aboriginal and Torres Strait Islander epidemiology
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450407,Aboriginal and Torres Strait Islander health policy
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450408,Aboriginal and Torres Strait Islander health promotion
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450409,Aboriginal and Torres Strait Islander health services
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450410,Aboriginal and Torres Strait Islander lifecourse
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450411,Aboriginal and Torres Strait Islander medicine and treatments
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450412,Aboriginal and Torres Strait Islander men’s health and wellbeing
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450413,Aboriginal and Torres Strait Islander midwifery and paediatrics
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450414,Aboriginal and Torres Strait Islander mothers and babies health and wellbeing
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450415,Aboriginal and Torres Strait Islander nursing
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450416,Aboriginal and Torres Strait Islander psychology
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450417,Aboriginal and Torres Strait Islander public health and wellbeing
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450418,Aboriginal and Torres Strait Islander remote health
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450419,Aboriginal and Torres Strait Islander social determinants of health
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450420,"Aboriginal and Torres Strait Islander social, emotional, cultural and spiritual wellbeing"
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450421,Aboriginal and Torres Strait Islander sport and physical activity
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450422,Aboriginal and Torres Strait Islander theory of change models for health
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450423,Aboriginal and Torres Strait Islander youth and family social and emotional wellbeing
Indigenous Studies,Aboriginal and Torres Strait Islander health and wellbeing,450499,Aboriginal and Torres Strait Islander health and wellbeing not elsewhere classified
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450501,Aboriginal and Torres Strait Islander accounting
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450502,Aboriginal and Torres Strait Islander anthropology
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450503,Aboriginal and Torres Strait Islander architecture
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450504,Aboriginal and Torres Strait Islander commerce
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450505,Aboriginal and Torres Strait Islander community and regional development
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450506,Aboriginal and Torres Strait Islander community governance and decision making
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450507,Aboriginal and Torres Strait Islander community-based research
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450508,Aboriginal and Torres Strait Islander criminology
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450509,Aboriginal and Torres Strait Islander customary law
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450510,Aboriginal and Torres Strait Islander design practice and management
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450511,Aboriginal and Torres Strait Islander economics
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450512,Aboriginal and Torres Strait Islander finance
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450513,Aboriginal and Torres Strait Islander human geography and demography
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450514,Aboriginal and Torres Strait Islander legislation
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450515,Aboriginal and Torres Strait Islander management
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450516,Aboriginal and Torres Strait Islander marketing
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450517,Aboriginal and Torres Strait Islander not-for-profit social enterprises
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450518,Aboriginal and Torres Strait Islander peoples and the law
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450519,Aboriginal and Torres Strait Islander perspectives
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450520,Aboriginal and Torres Strait Islander political participation and representation
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450521,Aboriginal and Torres Strait Islander politics
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450522,Aboriginal and Torres Strait Islander social impact and program evaluation
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450523,Aboriginal and Torres Strait Islander social work and social justice
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450524,Aboriginal and Torres Strait Islander sociological studies
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450525,Aboriginal and Torres Strait Islander sociology
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450526,Aboriginal and Torres Strait Islander tourism
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450527,Aboriginal and Torres Strait Islander urban and regional planning
Indigenous Studies,"Aboriginal and Torres Strait Islander peoples, society and community",450599,"Aboriginal and Torres Strait Islander peoples, society and community not elsewhere classified"
Indigenous Studies,Aboriginal and Torres Strait Islander sciences,450601,Aboriginal and Torres Strait Islander astronomy and cosmology
Indigenous Studies,Aboriginal and Torres Strait Islander sciences,450602,Aboriginal and Torres Strait Islander biological sciences
Indigenous Studies,Aboriginal and Torres Strait Islander sciences,450603,Aboriginal and Torres Strait Islander computing technology use and design
Indigenous Studies,Aboriginal and Torres Strait Islander sciences,450604,Aboriginal and Torres Strait Islander engineering
Indigenous Studies,Aboriginal and Torres Strait Islander sciences,450605,Aboriginal and Torres Strait Islander genomics
Indigenous Studies,Aboriginal and Torres Strait Islander sciences,450606,Aboriginal and Torres Strait Islander information and knowledge management systems
Indigenous Studies,Aboriginal and Torres Strait Islander sciences,450607,Aboriginal and Torres Strait Islander innovation
Indigenous Studies,Aboriginal and Torres Strait Islander sciences,450608,Aboriginal and Torres Strait Islander knowledge management methods
Indigenous Studies,Aboriginal and Torres Strait Islander sciences,450609,"Aboriginal and Torres Strait Islander mathematical, physical and chemical sciences (excl. astronomy and cosmology)"
Indigenous Studies,Aboriginal and Torres Strait Islander sciences,450699,Aboriginal and Torres Strait Islander sciences not elsewhere classified
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450701,Te whāomoomo i te tuku ihotanga Māori (conservation of Māori heritage)
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450702,Te mana wahine (female status)
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450703,Te mana tāne (male status)
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450704,Te mātai whaipara Māori (Māori archaeology)
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450705,Ngā taonga Māori nō mua (Māori artefacts)
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450706,Te hītori ahurea Māori (Māori cultural history)
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450707,Te ahurea Māori (Māori culture)
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450708,"Ngā mātai kaitiaki, pūranga me ngā whare tongarewa o te Māori (Māori curatorial, archives and museum studies)"
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450709,Ngā matatika o te Māori (Māori ethics)
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450710,Te hītori Māori (Māori history)
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450711,"Te whenua, ahurea me te tuakiri o te Māori (Māori land, culture and identity)"
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450712,Te mātai i te reo Māori me te reo Māori (Māori linguistics and languages)
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450713,"Te mātākōrero, te kawe kōrero me te tuhituhi ngaio o te Māori (Māori literature, journalism and professional writing)"
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450714,"Ngā arapāho, ngā kiriata, te hākoritanga me te hopu whakaahua o te Māori (Māori media, film, animation and photography)"
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450715,Te puoro me ngā mahi a te rēhia o te Māori (Māori music and performing arts)
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450716,Te rapunga whakaaro o te Māori (Māori philosophy)
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450717,Ngā Kaupapa Māori (Māori projects)
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450718,Te whakapono me te mātai whakapono o te Māori (Māori religion and religious studies)
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450719,Te whakahoki taonga a te Māori ki te kāinga (Māori repatriation)
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450720,Ngā tikanga rangahau o te Māori (Māori research methods)
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450721,Ngā toi ataata ngā mahi ā-rehe o te Māori (Māori visual arts and crafts)
Indigenous Studies,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",450799,"Te ahurea, reo, me te hītori o te Māori kāore anō kia whakarōpūtia i wāhi kē (Māori culture, language and history not elsewhere classified)"
Indigenous Studies,Mātauranga Māori (Māori education),450801,Ngā kōhanga reo (Māori curriculum and pedagogy)
Indigenous Studies,Mātauranga Māori (Māori education),450802,Te Whāriki - te mātauranga kōhungahunga Māori (Māori early childhood education)
Indigenous Studies,Mātauranga Māori (Māori education),450803,Ngā tikanga mātauranga o te Māori (Māori educational methods)
Indigenous Studies,Mātauranga Māori (Māori education),450804,Te mātauranga kura tuatoru Māori (Māori higher education)
Indigenous Studies,Mātauranga Māori (Māori education),450805,Te mātauranga reo Māori (Māori language education)
Indigenous Studies,Mātauranga Māori (Māori education),450806,Ngā kura kaupapa Māori (Māori primary education)
Indigenous Studies,Mātauranga Māori (Māori education),450807,Te urupare me te whai wāhi Māori ki te mātauranga (Māori responsiveness and engaged education)
Indigenous Studies,Mātauranga Māori (Māori education),450808,Te mātauranga kura tuarua Māori (Māori secondary education)
Indigenous Studies,Mātauranga Māori (Māori education),450809,Te whai wāhi ākonga me ngā mahi whakaako o te Māori (Māori student engagement and teaching)
Indigenous Studies,Mātauranga Māori (Māori education),450810,"Tō te Māori mātauranga hangarau, mātauranga atu anō, mātauranga haere tonu, me te mātauranga hapori (Māori technical, further, continuing and community education)"
Indigenous Studies,Mātauranga Māori (Māori education),450811,Te mātauranga Māori i roto i te mātauranga (Mātauranga Māori in education)
Indigenous Studies,Mātauranga Māori (Māori education),450899,Te mātauranga Māori kāore anō kia whakarōpūtia i wāhi kē (Māori education not elsewhere classified)
Indigenous Studies,Ngā mātauranga taiao o te Māori (Māori environmental knowledges),450901,Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry)
Indigenous Studies,Ngā mātauranga taiao o te Māori (Māori environmental knowledges),450902,Ngā pūtaiao-ā-nuku o te Māori (Māori earth sciences)
Indigenous Studies,Ngā mātauranga taiao o te Māori (Māori environmental knowledges),450903,Te whāomoomo taiao o te Māori (Māori environmental conservation)
Indigenous Studies,Ngā mātauranga taiao o te Māori (Māori environmental knowledges),450904,Ngā mātauranga taiao o te Māori (Māori environmental knowledges)
Indigenous Studies,Ngā mātauranga taiao o te Māori (Māori environmental knowledges),450905,Te ahumoana me te ahumoana tuku iho o te Māori (Māori fisheries and customary fisheries)
Indigenous Studies,Ngā mātauranga taiao o te Māori (Māori environmental knowledges),450906,Te whakahaere whenua me te wai o te Māori (Māori land and water management)
Indigenous Studies,Ngā mātauranga taiao o te Māori (Māori environmental knowledges),450907,Te pūtaiao taiao moana o te Māori (Māori marine environment science)
Indigenous Studies,Ngā mātauranga taiao o te Māori (Māori environmental knowledges),450999,Ngā mātauranga taiao o te Māori kāore anō kia whakarōpūtia i wāhi kē (Māori environmental knowledges not elsewhere classified)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451001,Te whaikaha me te Māori (Māori and disability)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451002,"Ngā pūtaiao koiora-hauora, haumanu hoki o te Māori (Māori biomedical and clinical sciences)"
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451003,Ngā tokoingoa ahurea o te hauora o te Māori (Māori cultural determinants of health)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451004,Te horakai me ngā kai o te Māori (Māori diet and nutrition)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451005,Te mātai tahumaero o te Māori (Māori epidemiology)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451006,Ngā kaupapahere hauora o te Māori (Māori health policy)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451007,Te whakatairanga hauora o te Māori (Māori health promotion)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451008,Ngā wāhanga ora o te Māori (Māori life course)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451009,Ngā rongoā me ngā whakamaimoa o te Māori (Māori medicine and treatments)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451010,Ngā kaiwhakawhānau me te mātai mate tamariki o te Māori (Māori midwifery and paediatrics)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451011,"Te hauora me te oranga ā-whaea, ā-pēpi o te Māori (Māori mothers and babies health and wellbeing)"
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451012,Te mahi tapuhi o te Māori (Māori nursing)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451013,Mātauranga hinengaro kaupapa Māori (Māori psychology)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451014,Ngā pūnaha mātauranga hinengaro o te Māori (Māori psychology knowledge systems)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451015,Te hauora me te oranga tūmatanui o te Māori (Māori public health and wellbeing)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451016,Te hauora mamao o te Māori (Māori remote health)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451017,"Te oranga ā-pāpori, ā-hinengaro, ā-ahurea, ā-wairua o te Māori (Māori social, cultural, emotional and spiritual wellbeing)"
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451018,Ngā tokoingoa pāpori o te hauora o te Māori (Māori social determinants of health)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451019,Ngā hākinakina me te korikori tinana o te Māori (Māori sport and physical activity)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451020,Te ariā o ngā tauira panoni hauora o te Māori (Māori theory of change models for health)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451021,Ngā taiohi me ngā whānau Māori (Māori youth and family)
Indigenous Studies,Te hauora me te oranga o te Māori (Māori health and wellbeing),451099,Te hauora me te oranga o te Māori kāore anō kia whakarōpūhia i wāhi kē (Māori health and wellbeing not elsewhere classified)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451101,Te mahi kaute o te Māori (Māori accounting)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451102,Te mātauranga tikanga Māori (Māori anthropology)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451103,Te hoahoanga whare o te Māori (Māori architecture)  
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451104,Ngā mahi tauhokohoko o te Māori (Māori commerce)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451105,"Te whanaketanga ā-hapori, ā-rohe o te Māori (Māori community and regional development)"
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451106,Te rangahau kei rō hapori o te Māori (Māori community-based research)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451107,"Te kāwana ā-hapori, whakatau take hoki o te Māori (Māori community governance and decision making)"
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451108,Te mātauranga taihara Māori (Māori criminology)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451109,Ngā tikanga Māori (Māori customary law)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451110,Te whakaharatau me te whakahaere hoahoa o te Māori (Māori design practice and management)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451111,Te mātauranga ōhanga o te Māori (Māori economics)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451112,Te ahumoni Māori (Māori finance)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451113,Te mātauranga matawhenua ā-iwi me te tatauranga ā-iwi o te Māori (Māori human geography and demography)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451114,Te ture Whenua (Māori land law)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451115,Te ture me te tika Māori (Māori law and justice)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451116,Ngā ture Māori (Māori legislation)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451117,Te whakahaere o te Māori (Māori management)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451118,Te whakamākete o te Māori (Māori marketing)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451119,Ngā hinonga pāpori kaupapa atawhai o te Māori (Māori not-for-profit social enterprises)
